Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Hdm Çelik Boru San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - %65-75 Yatırım harcamaları. 
                    - %25-35 İşletme sermayesi.  
- Taslak İzahname, Sayfa 197,198.
","
                    - Sermaye Artırımı : 16.666.667 Lot
                    - Ortak Satışı : 5.500.000 Lot (Muhiddin Murat Kandemir)
                    - Ortak Satışı : 5.500.000 Lot (Veysel Kurt)
                    - Ortak Satışı : 5.500.000 Lot (Ezgi Ayhan)
                    - Ortak Satışı : 166.667 Lot (Ayşe Banu Başkut)
                    - Ek Pay Ortak Satışı : 2.222.222 Lot (Muhiddin Murat Kandemir)
                    - Ek Pay Ortak Satışı : 2.222.222 Lot (Veysel Kurt)
                    - Ek Pay Ortak Satışı : 2.222.222 Lot (Ezgi Ayhan)
* Taslak İzahname, Sayfa 1.
","
                    - 6 Ay, İhraççı. 
                    - 6 Ay, Ortaklar. 
* Taslak İzahname, Sayfa 194,195.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 192.
","
                    - %10. 
* Taslak İzahname, Sayfa 175.
",Şehir : İstanbul,Kuruluş Tarihi : 29.11.2011,"; - Hasılat, 826,8 Milyon TL, 754,9 Milyon TL, 465,8 Milyon TL; - Brüt Kar, 242,8 Milyon TL, 197 Milyon TL, 101,2 Milyon TL"
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,
Destek Finans Faktoring A.Ş.,Hazırlanıyor...,"
                    - Sermaye Artırımı : 83.333.333 Lot
* Taslak İzahname, Sayfa 1.
","
                    - %100 Faktoring işlemlerinin finansmanı. 
* Taslak İzahname, Sayfa 159.
","
                    - Planlanmamaktadır. 
* Taslak İzahname, Sayfa 157.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 157.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 142.
",Şehir : İstanbul,Kuruluş Tarihi : 18.07.1996,"; - Hasılat, 1,3 Milyar TL, 858,9 Milyon TL, 346,8 Milyon TL; - Brüt Kâr, 612,3 Milyon TL, 341,3 Milyon TL, 143,4 Milyon TL"
-,-,-,-,-,-,-,-,-,
Akçelik Demir Çelik San. ve Tic. A.Ş.,Hazırlanıyor...,"
                    - %25-30 Makine ve ekipman yatırımlarının finansmanı. 
                    - %35-40 Hammadde tedariki ve işletme sermayesi finansmanı. 
                    - %30-35 Finansal borç ödemeleri. 
* Taslak İzahname, Sayfa 172.
","
                    - Sermaye Artırımı : 18.500.000 Lot
                    - Ortak Satışı : 7.750.000 Lot (Salih Kılıç)
* Taslak İzahname, Sayfa 1.
","
                    - 30 gün. 
* Taslak İzahname, Sayfa 168.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 170.
","
                    - %15,58. 
* Taslak İzahname, Sayfa 152.
",Şehir : İzmir,Kuruluş Tarihi : 03.05.1990,"; - Hasılat, 4,1 Milyar TL, 2,2 Milyar TL, 828 Milyon TL; - Brüt Kar, 1 Milyar TL, 565,3 Milyon TL, 174 Milyon TL"
-,-,-,-,-,-,-,-,-,
Rönesans Gayrimenkul Yatırım A.Ş.,17-18-19 Nisan 2024,"
                    - Sermaye Artırımı : 27.283.112 Lot
                    - Ortak Satışı : 6.074.338 Lot (Euro Cube Private Limited)
* SPK Bülten, 2024/18.
","
                    - %60-65 Finansal borç geri ödemesi. 
                    - %5-10 İlişkili taraflara ticari olmayan borç geri ödemesi. 
                    - %15-20 Maltepe Park konut yatırımı. 
                    - %15-15 İşletme sermayesi. 
* İzahname, Sayfa 353.
","
                    - 30 gün. * Brüt halka arz gelirinin %25'i. 
                    (Deniz Yatırım Menkul Kıymetler A.Ş.) 
* İzahname, Sayfa 348.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 350.
","
                    - %10,08. 
* İzahname, Sayfa 308.
",Şehir : Ankara,Kuruluş Tarihi : 02.06.2006,"; - Hasılat, 5,0 Milyar TL, 4,2 Milyar TL, 3,3 Milyar TL; - Brüt Kar, 3,1 Milyar TL, 2,6 Milyar TL, 2,2 Milyar TL"
-,-,-,-,-,-,-,-,-,
